,Density,Molar Volume,Freely Rotatable Bonds,H Acceptors,H Donors,Molecular Weight,Polar Surface Area,Boiling Point
218,1.199,187.8,1.0,1.0,0.0,225.31,41.1,399.3
219,1.48,80.6,0.0,4.0,0.0,120.11,43.1,
220,1.583,156.0,3.0,2.0,0.0,247.11,54.5,312.1
221,1.488,268.8,5.0,9.0,2.0,400.34,121.0,681.7
222,1.406,272.5,9.0,5.0,1.0,383.23,72.8,497.6
223,1.14,377.4,10.0,5.0,0.0,430.47,79.5,516.9
224,1.32,288.5,7.0,2.0,0.0,383.28,18.5,504.7
225,,,3.0,2.0,0.0,314.1,24.7,365.9
226,1.35,512.4,15.0,15.0,0.0,696.7,193.0,720.1
227,1.412,261.4,10.0,9.0,5.0,369.37,146.0,649.3
228,1.35,785.4,22.0,20.0,6.0,1063.23,266.0,
229,1.135,477.9,20.0,12.0,2.0,542.62,163.0,675.6
230,1.155,253.0,7.0,5.0,1.0,292.33,80.7,471.6
231,1.14,408.6,8.0,8.0,0.0,468.61,81.7,506.3
232,1.24,168.2,2.0,4.0,1.0,210.23,55.8,383.9
233,1.275,360.2,6.0,4.0,0.0,459.37,56.5,540.3
234,1.241,289.4,8.0,7.0,0.0,359.37,90.0,489.6
235,1.286,221.7,6.0,5.0,1.0,285.24,72.5,389.6
236,1.48,379.9,9.0,11.0,6.0,564.62,183.0,809.4
237,1.33,196.3,4.0,6.0,2.0,261.28,82.5,565.3
238,1.06,239.5,5.0,2.0,1.0,254.37,37.3,316.3
239,,,,,,349.34,,
240,1.089,404.5,15.0,8.0,4.0,440.58,108.0,670.0
241,1.72,170.3,3.0,6.0,1.0,294.2,85.3,307.0
242,1.29,314.8,8.0,10.0,2.0,406.43,134.0,692.9
243,1.44,471.1,8.0,12.0,0.0,678.73,102.0,849.9
244,1.218,278.4,7.0,6.0,0.0,339.34,81.4,537.4
245,1.44,220.8,5.0,6.0,1.0,318.35,111.0,494.7
246,1.41,177.4,3.0,5.0,2.0,250.25,76.0,547.4
247,1.25,230.2,3.0,4.0,0.0,289.33,45.0,463.4
248,1.373,185.8,2.0,5.0,1.0,255.27,64.9,485.1
249,1.28,162.0,2.0,3.0,0.0,208.28,60.9,348.8
250,1.095,227.5,4.0,4.0,0.0,249.31,38.8,321.2
251,1.011,386.0,12.0,4.0,2.0,390.56,66.8,552.5
252,1.58,172.2,3.0,7.0,2.0,272.26,94.4,
253,1.251,251.1,4.0,6.0,2.0,314.4,109.0,
254,1.61,236.9,6.0,6.0,0.0,383.12,84.5,375.3
255,1.408,201.0,2.0,6.0,3.0,283.28,91.1,
256,1.23,189.2,2.0,4.0,0.0,234.23,41.9,362.7
257,1.044,253.2,5.0,4.0,2.0,264.36,62.2,430.1
258,1.07,305.9,7.0,6.0,1.0,329.46,81.7,418.1
259,1.15,176.2,2.0,3.0,0.0,202.71,32.7,256.7
260,1.25,270.8,3.0,3.0,1.0,339.39,45.7,600.3
261,1.298,232.8,5.0,5.0,1.0,302.32,72.8,522.6
262,1.406,185.8,1.0,4.0,3.0,261.28,68.0,618.3
263,1.17,262.7,5.0,3.0,0.0,308.37,35.5,588.3
264,1.362,208.6,5.0,4.0,3.0,284.31,69.9,579.5
265,1.2,221.1,5.0,5.0,0.0,266.29,69.7,393.5
266,0.917,210.6,3.0,2.0,0.0,193.29,40.9,287.3
267,1.227,255.9,5.0,5.0,0.0,314.33,54.0,470.6
268,1.24,188.2,6.0,5.0,2.0,234.3,61.9,350.7
269,1.305,227.7,3.0,5.0,0.0,297.31,63.7,491.3
270,1.171,195.7,1.0,4.0,0.0,229.28,46.1,430.3
271,1.041,165.7,4.0,1.0,0.0,172.65,13.1,
272,1.666,257.9,6.0,3.0,0.0,430.03,31.4,70.0
273,1.15,179.4,4.0,5.0,2.0,207.23,67.9,352.7
274,1.198,190.4,2.0,3.0,0.0,228.24,35.5,409.3
275,0.884,249.0,6.0,1.0,1.0,220.35,20.2,324.0
276,1.69,137.5,3.0,7.0,2.0,233.23,85.0,707.0
277,1.334,137.2,4.0,6.0,2.0,183.16,94.0,396.2
278,1.86,158.9,1.0,3.0,0.0,295.96,28.7,
279,1.52,202.0,1.0,5.0,0.0,308.17,56.5,542.0
280,1.162,190.3,6.0,5.0,1.0,221.28,89.9,404.1
281,,,,,,,,
282,1.05,293.7,4.0,4.0,0.0,310.39,55.0,450.3
283,1.234,222.3,5.0,6.0,1.0,274.34,97.8,524.2
284,1.235,198.4,2.0,5.0,2.0,245.28,71.1,464.1
285,,,,,,,,
286,1.271,161.9,0.0,0.0,0.0,202.25,0.0,550.0
287,1.405,159.0,0.0,2.0,0.0,208.21,34.1,360.0
288,1.3227,98.6,1.0,2.0,0.0,130.53,30.2,173.0
289,2.469,133.5,0.0,0.0,0.0,329.91,0.0,285.0
290,1.108,191.5,3.0,2.0,0.0,212.24,26.3,355.0
291,1.66,118.0,0.0,1.0,1.0,196.04,15.8,96.0
292,1.27,109.4,2.0,4.0,0.0,139.11,59.0,222.7
293,0.7726,129.0,2.0,1.0,0.0,100.16,9.23,
294,1.189,164.8,4.0,4.0,1.0,196.2,55.8,352.6
295,,,,,,249.31,,
296,1.643,195.9,0.0,2.0,0.0,321.97,18.5,410.6
297,0.915,124.6,3.0,2.0,0.0,114.14,26.3,142.0
298,1.128,260.9,6.0,3.0,0.0,294.35,35.5,492.1
299,1.625,142.1,2.0,3.0,1.0,231.04,46.5,333.7
300,1.686,171.9,4.0,2.0,1.0,290.1,37.3,351.0
301,1.431,180.4,1.0,3.0,1.0,258.29,62.8,
302,1.18,105.7,2.0,3.0,1.0,125.13,45.7,391.3
303,1.32,155.7,1.0,4.0,0.0,206.2,73.4,414.6
304,1.4,178.4,1.0,4.0,0.0,250.25,44.1,384.1
305,1.25,144.1,0.0,2.0,0.0,180.21,25.8,381.7
